model,dataset,bpp,fid,fid_swav,kid,lpips,dists,ms_ssim,psnr
MS-ILLM,clic2020,0.03462125360965729,6.272188186645508,1.7230812311172483,0.0010435933945700526,0.1136709526181221,0.0856596902012825,0.8980119228363037,27.88009452819824
MS-ILLM,clic2020,0.06327755004167557,4.479227066040039,1.209795594215393,0.0008222361793741584,0.08010827004909515,0.06634434312582016,0.9280361533164978,29.239330291748047
MS-ILLM,clic2020,0.1205950528383255,2.645052433013916,0.8149425387382507,0.0003830193891189992,0.05409831926226616,0.0480383038520813,0.9530984163284302,30.870708465576172
MS-ILLM,clic2020,0.23139648139476776,1.655857801437378,0.5501344799995422,0.0002240389585494995,0.034889232367277145,0.03511716425418854,0.9722651839256288,32.83599853515625
MS-ILLM,clic2020,0.33122342824935913,1.3690264225006104,0.44782698154449463,0.00018221458594780415,0.02650555968284607,0.028669796884059903,0.9795459508895874,34.111358642578125
MS-ILLM,clic2020,0.512473464012146,1.093740701675415,0.3963579833507538,0.0001412497804267332,0.01727328449487686,0.01988908462226391,0.9861984848976136,35.88406753540039
MS-ILLM,div2k,0.044449180364608765,18.553260803222656,4.529541492462158,0.002440904499962926,0.13790319859981537,0.10265827924013138,0.8802741169929504,25.501344680786133
MS-ILLM,div2k,0.08008512854576111,13.59716510772705,3.208091735839844,0.0016257810639217496,0.09676571190357208,0.0799001008272171,0.9172919988632202,26.88982391357422
MS-ILLM,div2k,0.14923131465911865,8.083948135375977,2.051259994506836,0.00046765466686338186,0.06462159007787704,0.055620357394218445,0.9466173648834229,28.509849548339844
MS-ILLM,div2k,0.2800927460193634,5.131109714508057,1.3728196620941162,0.00011199489381397144,0.040337204933166504,0.04048733413219452,0.969006896018982,30.54896545410156
MS-ILLM,div2k,0.40928593277931213,3.860685110092163,0.9855608940124512,3.331596963107586e-05,0.0288176704198122,0.03163982555270195,0.9778127074241638,31.919160842895508
MS-ILLM,div2k,0.6570170521736145,2.6095046997070312,0.6867667436599731,-4.3718089727917686e-05,0.016955401748418808,0.020193932577967644,0.9859160780906676,33.908016204833984
MS-ILLM,kodak,0.0443454347550869,,,,0.15762092173099518,0.13461525738239288,0.8460505604743958,24.729001998901367
MS-ILLM,kodak,0.0806070938706398,,,,0.10997020453214644,0.1085180938243866,0.8902091383934021,25.92298126220703
MS-ILLM,kodak,0.1531745046377182,,,,0.07317978143692017,0.08091441541910172,0.9282328486442566,27.53347969055176
MS-ILLM,kodak,0.2958035171031952,,,,0.04505142197012901,0.061542853713035583,0.9596877694129944,29.63416862487793
MS-ILLM,kodak,0.4323526918888092,,,,0.03202955052256584,0.048724930733442307,0.9719058871269226,31.03455352783203
MS-ILLM,kodak,0.70916748046875,,,,0.01800273358821869,0.033452358096838,0.9836977124214172,33.2116584777832
No-GAN,clic2020,0.010784221813082697,38.30501174926758,9.999222755432127,0.014875398017466068,0.2271658033132553,0.19830431044101715,0.837184488773346,25.920005798339844
No-GAN,clic2020,0.018884841352701187,20.137571334838867,5.729281425476074,0.006600354798138142,0.14991559088230133,0.16010017693042755,0.8768187761306763,27.271987915039062
No-GAN,clic2020,0.03435058146715164,12.977441787719728,4.400548458099365,0.003458533203229308,0.10379251837730408,0.12751904129981995,0.9120864272117616,28.726078033447266
No-GAN,clic2020,0.06272822618484497,8.94070053100586,3.173759698867798,0.0022996836341917515,0.07083655893802643,0.10497549176216124,0.9398567080497742,30.23155975341797
No-GAN,clic2020,0.12001481652259828,6.564369201660156,1.9096509218215945,0.001853808178566396,0.0465945228934288,0.08081187307834625,0.961904227733612,31.99241828918457
No-GAN,clic2020,0.23043657839298248,4.7924933433532715,1.3500971794128418,0.001611846266314387,0.029629549011588097,0.06754469126462936,0.9776081442832948,33.93207550048828
No-GAN,clic2020,0.32951629161834717,3.83855414390564,1.030422329902649,0.0013558155624195931,0.02167900837957859,0.058954812586307526,0.9839572310447692,35.27804946899414
No-GAN,clic2020,0.5103466510772705,2.795156240463257,0.8413976430892944,0.0009696497581899166,0.013751687481999396,0.04581025242805481,0.989390194416046,37.18682098388672
No-GAN,div2k,0.014050835743546486,59.57907485961914,14.715123176574709,0.019293388351798058,0.25451454520225525,0.21085324883461,0.7935505509376526,23.479902267456055
No-GAN,div2k,0.02449549362063408,38.44877624511719,10.614026069641112,0.009087339974939823,0.18069030344486237,0.1733035445213318,0.8463916778564453,24.742509841918945
No-GAN,div2k,0.04417278617620468,26.26251792907715,8.148223876953125,0.004697774071246386,0.13070857524871826,0.13715845346450806,0.8931009769439697,26.17965316772461
No-GAN,div2k,0.07958176732063293,18.778732299804688,5.676093578338623,0.002967969048768282,0.08905103802680969,0.10952204465866087,0.928824245929718,27.69820022583008
No-GAN,div2k,0.1486808806657791,13.938908576965332,3.753447771072388,0.0023767626844346523,0.05767792835831642,0.08269274979829788,0.9560070633888244,29.51143264770508
No-GAN,div2k,0.279321551322937,9.981677055358888,2.5096893310546875,0.0020102185662835836,0.03540587052702904,0.06478981673717499,0.9744665026664734,31.504474639892575
No-GAN,div2k,0.407547265291214,7.640632152557373,1.933241605758667,0.0015396926319226625,0.02442915178835392,0.0540064238011837,0.9822715520858764,32.96104431152344
No-GAN,div2k,0.6547612547874451,5.106240272521973,1.4031912088394165,0.000989103806205094,0.013974180445075037,0.0379960872232914,0.9891367554664612,35.12394714355469
No-GAN,kodak,0.014671326614916325,,,,0.2787940800189972,0.2481175810098648,0.7603026032447815,23.144250869750977
No-GAN,kodak,0.0244072824716568,,,,0.2056368738412857,0.20693381130695343,0.8143898844718933,24.24565315246582
No-GAN,kodak,0.0440131276845932,,,,0.14909745752811432,0.16828785836696625,0.8643869757652283,25.519750595092773
No-GAN,kodak,0.080047607421875,,,,0.1016615629196167,0.1380636841058731,0.9063987731933594,26.83434295654297
No-GAN,kodak,0.1525268405675888,,,,0.06530981510877609,0.1079254150390625,0.9410852789878844,28.61029815673828
No-GAN,kodak,0.2947896420955658,,,,0.03974940627813339,0.08507440239191055,0.9665034413337708,30.58483123779297
No-GAN,kodak,0.4300605058670044,,,,0.02696305513381958,0.07135274261236191,0.9774855971336364,32.10568618774414
No-GAN,kodak,0.7061734199523926,,,,0.014762393198907375,0.05228922888636589,0.9873607158660888,34.512474060058594
